GEO_ID,NAME,POPULATION,BELOW_POVERTY,POVERTY_RATE
1400000US21111010319,Census Tract 103.19; Jefferson County; Kentucky,4688,245,5.2
1400000US21111010320,Census Tract 103.20; Jefferson County; Kentucky,3878,359,9.3
1400000US21111010321,Census Tract 103.21; Jefferson County; Kentucky,6626,270,4.1
1400000US21111010322,Census Tract 103.22; Jefferson County; Kentucky,3095,117,3.8
1400000US21111010323,Census Tract 103.23; Jefferson County; Kentucky,3054,213,7.0
1400000US21111010324,Census Tract 103.24; Jefferson County; Kentucky,5318,541,10.2
1400000US21111010403,Census Tract 104.03; Jefferson County; Kentucky,4147,176,4.2
1400000US21111010405,Census Tract 104.05; Jefferson County; Kentucky,3611,460,12.7
1400000US21111010406,Census Tract 104.06; Jefferson County; Kentucky,5944,610,10.3
1400000US21111010407,Census Tract 104.07; Jefferson County; Kentucky,4178,240,5.7
1400000US21111010408,Census Tract 104.08; Jefferson County; Kentucky,3919,235,6.0
1400000US21111010500,Census Tract 105; Jefferson County; Kentucky,4010,470,11.7
1400000US21111010601,Census Tract 106.01; Jefferson County; Kentucky,3054,230,7.5
1400000US21111010602,Census Tract 106.02; Jefferson County; Kentucky,3510,237,6.8
1400000US21111010701,Census Tract 107.01; Jefferson County; Kentucky,5413,258,4.8
1400000US21111010702,Census Tract 107.02; Jefferson County; Kentucky,5967,431,7.2
1400000US21111010706,Census Tract 107.06; Jefferson County; Kentucky,3882,132,3.4
1400000US21111010707,Census Tract 107.07; Jefferson County; Kentucky,3596,189,5.3
1400000US21111010708,Census Tract 107.08; Jefferson County; Kentucky,2687,102,3.8
1400000US21111010800,Census Tract 108; Jefferson County; Kentucky,3258,270,8.3
1400000US21111010901,Census Tract 109.01; Jefferson County; Kentucky,5182,866,16.7
1400000US21111010902,Census Tract 109.02; Jefferson County; Kentucky,3630,168,4.6
1400000US21111011003,Census Tract 110.03; Jefferson County; Kentucky,7014,516,7.4
1400000US21111011005,Census Tract 110.05; Jefferson County; Kentucky,3212,352,11.0
1400000US21111011006,Census Tract 110.06; Jefferson County; Kentucky,2617,372,14.2
1400000US21111011007,Census Tract 110.07; Jefferson County; Kentucky,3077,585,19.0
1400000US21111011008,Census Tract 110.08; Jefferson County; Kentucky,3245,619,19.1
1400000US21111011009,Census Tract 110.09; Jefferson County; Kentucky,3677,551,15.0
1400000US21111011109,Census Tract 111.09; Jefferson County; Kentucky,2637,144,5.5
1400000US21111011110,Census Tract 111.10; Jefferson County; Kentucky,6167,490,7.9
1400000US21111011111,Census Tract 111.11; Jefferson County; Kentucky,4988,235,4.7
1400000US21111011112,Census Tract 111.12; Jefferson County; Kentucky,3322,164,4.9
1400000US21111011113,Census Tract 111.13; Jefferson County; Kentucky,2927,221,7.6
1400000US21111011114,Census Tract 111.14; Jefferson County; Kentucky,5174,436,8.4
1400000US21111011115,Census Tract 111.15; Jefferson County; Kentucky,3421,362,10.6
1400000US21111011116,Census Tract 111.16; Jefferson County; Kentucky,3812,221,5.8
1400000US21111011117,Census Tract 111.17; Jefferson County; Kentucky,3141,282,9.0
1400000US21111011118,Census Tract 111.18; Jefferson County; Kentucky,3774,214,5.7
1400000US21111011201,Census Tract 112.01; Jefferson County; Kentucky,1935,235,12.1
1400000US21111011202,Census Tract 112.02; Jefferson County; Kentucky,3546,341,9.6
1400000US21111011301,Census Tract 113.01; Jefferson County; Kentucky,1818,209,11.5
1400000US21111011302,Census Tract 113.02; Jefferson County; Kentucky,8155,1333,16.3
1400000US21111011403,Census Tract 114.03; Jefferson County; Kentucky,1542,311,20.2
1400000US21111011404,Census Tract 114.04; Jefferson County; Kentucky,4601,1832,39.8
1400000US21111011405,Census Tract 114.05; Jefferson County; Kentucky,4149,357,8.6
1400000US21111011406,Census Tract 114.06; Jefferson County; Kentucky,6035,947,15.7
1400000US21111011506,Census Tract 115.06; Jefferson County; Kentucky,5074,629,12.4
1400000US21111011508,Census Tract 115.08; Jefferson County; Kentucky,6452,592,9.2
1400000US21111011509,Census Tract 115.09; Jefferson County; Kentucky,4437,1230,27.7
1400000US21111011513,Census Tract 115.13; Jefferson County; Kentucky,4144,361,8.7
1400000US21111011514,Census Tract 115.14; Jefferson County; Kentucky,3898,405,10.4
1400000US21111011515,Census Tract 115.15; Jefferson County; Kentucky,4815,379,7.9
1400000US21111011516,Census Tract 115.16; Jefferson County; Kentucky,3908,334,8.5
1400000US21111011517,Census Tract 115.17; Jefferson County; Kentucky,5038,445,8.8
1400000US21111011518,Census Tract 115.18; Jefferson County; Kentucky,2045,5,0.2
1400000US21111011519,Census Tract 115.19; Jefferson County; Kentucky,5972,240,4.0
1400000US21111011520,Census Tract 115.20; Jefferson County; Kentucky,5312,244,4.6
1400000US21111011521,Census Tract 115.21; Jefferson County; Kentucky,4555,990,21.7
1400000US21111011522,Census Tract 115.22; Jefferson County; Kentucky,2603,69,2.7
1400000US21111011603,Census Tract 116.03; Jefferson County; Kentucky,5439,177,3.3
1400000US21111011604,Census Tract 116.04; Jefferson County; Kentucky,2411,80,3.3
1400000US21111011605,Census Tract 116.05; Jefferson County; Kentucky,7514,288,3.8
1400000US21111011606,Census Tract 116.06; Jefferson County; Kentucky,1630,44,2.7
1400000US21111011706,Census Tract 117.06; Jefferson County; Kentucky,3572,206,5.8
1400000US21111011707,Census Tract 117.07; Jefferson County; Kentucky,5998,468,7.8
1400000US21111011708,Census Tract 117.08; Jefferson County; Kentucky,6223,586,9.4
1400000US21111011709,Census Tract 117.09; Jefferson County; Kentucky,8143,411,5.0
1400000US21111011710,Census Tract 117.10; Jefferson County; Kentucky,3586,828,23.1
1400000US21111011711,Census Tract 117.11; Jefferson County; Kentucky,6976,192,2.8
1400000US21111011712,Census Tract 117.12; Jefferson County; Kentucky,5046,940,18.6
1400000US21111011713,Census Tract 117.13; Jefferson County; Kentucky,3561,814,22.9
1400000US21111011800,Census Tract 118; Jefferson County; Kentucky,2314,365,15.8
1400000US21111011901,Census Tract 119.01; Jefferson County; Kentucky,1689,804,47.6
1400000US21111011904,Census Tract 119.04; Jefferson County; Kentucky,2836,701,24.7
1400000US21111011906,Census Tract 119.06; Jefferson County; Kentucky,5270,1279,24.3
1400000US21111011907,Census Tract 119.07; Jefferson County; Kentucky,4221,263,6.2
1400000US21111011908,Census Tract 119.08; Jefferson County; Kentucky,3322,454,13.7
1400000US21111011909,Census Tract 119.09; Jefferson County; Kentucky,3577,920,25.7
1400000US21111012001,Census Tract 120.01; Jefferson County; Kentucky,3628,718,19.8
1400000US21111012003,Census Tract 120.03; Jefferson County; Kentucky,3495,598,17.1
