GEOID,TRACT,HOUSEHOLD_INCOME_USD,HOME_VALUE_USD,GROSS_RENT_USD,POVERTY_RATE_PCT,RENT_BURDEN_PCT,OLDER_HOUSING_PCT,PERMIT_COUNT
21111010901,109.01,66260.0,199300.0,1190.0,16.7,41.90260475651189,86.47506339814032,14
21111010902,109.02,78029.0,223900.0,1172.0,4.6,11.178247734138973,93.39968569931901,22
21111011003,110.03,81920.0,234500.0,1168.0,7.4,4.10958904109589,72.9996058336618,23
21111011005,110.05,62077.0,166200.0,1356.0,11.0,16.642754662840744,89.2329345531316,13
21111011006,110.06,51355.0,212300.0,1123.0,14.2,14.593077642656688,67.37381126554499,6
21111011007,110.07,35693.0,170400.0,1061.0,19.0,17.67241379310345,59.893048128342244,12
21111011008,110.08,50066.0,143500.0,1097.0,19.1,25.28925619834711,49.434156378600825,7
21111011009,110.09,81635.0,260100.0,988.0,15.0,30.79710144927536,75.94846098783107,8
21111011109,111.09,68438.0,258600.0,1182.0,5.5,15.610859728506787,58.098933074684766,5
21111011110,111.10,85757.0,249700.0,998.0,7.9,20.54329371816638,44.89795918367347,4
21111011111,111.11,93833.0,284200.0,1346.0,4.7,21.404109589041095,56.086414624013294,18
21111011113,111.13,76682.0,302300.0,1208.0,7.6,16.587677725118482,16.414970453053186,15
21111011114,111.14,86131.0,315800.0,996.0,8.4,8.641975308641975,38.29499323410013,28
21111011115,111.15,90156.0,232800.0,1403.0,10.6,34.530386740331494,86.57513348588863,6
21111011116,111.16,72508.0,237100.0,1380.0,5.8,20.962199312714777,29.340659340659343,13
21111011201,112.01,48041.0,209800.0,1088.0,12.1,32.16463414634146,75.390625,4
21111011202,112.02,43583.0,205900.0,1124.0,9.6,34.32432432432432,59.790575916230374,8
21111011301,113.01,49115.0,207300.0,946.0,11.5,17.325227963525837,77.05627705627705,23
21111011302,113.02,61976.0,158100.0,1315.0,16.3,16.826568265682656,82.20064724919094,25
21111011403,114.03,55417.0,155200.0,1332.0,20.2,25.0,90.19607843137256,7
21111011404,114.04,29672.0,142800.0,904.0,39.8,40.11579818031431,76.20279358510088,14
21111011405,114.05,48781.0,171100.0,860.0,8.6,18.034447821681866,82.04683434518647,20
21111011406,114.06,55052.0,188200.0,1184.0,15.7,27.933673469387756,64.40129449838187,17
21111011506,115.06,74032.0,235100.0,1511.0,12.4,15.104166666666666,52.08737864077669,20
21111011508,115.08,81154.0,209700.0,1239.0,9.2,7.678883071553229,44.398851046368485,17
21111011509,115.09,40673.0,246100.0,1129.0,27.7,35.68507157464212,57.126696832579185,14
21111011513,115.13,73590.0,216700.0,1071.0,8.7,16.445623342175068,62.877539813289395,9
21111011514,115.14,84034.0,255300.0,1570.0,10.4,1.7094017094017095,35.11087645195354,12
21111011515,115.15,91793.0,247700.0,2250.0,7.9,53.2258064516129,60.44252563410686,16
21111011516,115.16,71994.0,221600.0,1068.0,8.5,12.862318840579709,27.79017857142857,15
21111011517,115.17,97149.0,272600.0,994.0,8.8,32.038834951456316,28.26691380908248,7
21111011518,115.18,131250.0,377100.0,,0.2,,8.122503328894808,10
21111011519,115.19,109615.0,322900.0,1286.0,4.0,2.671118530884808,30.248500428449017,27
21111011520,115.20,131887.0,455800.0,1409.0,4.6,23.49570200573066,15.889628924833493,17
21111011521,115.21,68939.0,228800.0,900.0,21.7,8.571428571428571,56.96055684454756,7
21111011522,115.22,86480.0,263300.0,1615.0,2.7,,69.99068033550793,5
21111011603,116.03,110673.0,386500.0,1589.0,3.3,,15.713642503376857,36
21111011604,116.04,124293.0,571600.0,886.0,3.3,76.31578947368422,24.356435643564357,16
21111011605,116.05,96484.0,428600.0,1539.0,3.8,7.825370675453048,3.3266418124462285,43
21111011606,116.06,132404.0,607200.0,,2.7,16.0,13.472222222222221,15
21111011706,117.06,81875.0,234600.0,1027.0,5.8,,68.71609403254972,16
21111011707,117.07,110507.0,230300.0,1450.0,7.8,3.9473684210526314,29.402756508422666,28
21111011708,117.08,74375.0,281200.0,1047.0,9.4,17.10843373493976,10.520361990950226,17
21111011709,117.09,96313.0,368800.0,2624.0,5.0,,6.222222222222222,30
21111011710,117.10,86367.0,212100.0,1274.0,23.1,16.10337972166998,37.90064102564102,6
21111011711,117.11,87485.0,231500.0,1289.0,2.8,14.53287197231834,37.55426917510854,25
21111011712,117.12,61850.0,190700.0,1313.0,18.6,16.774716369529983,36.30289532293987,10
21111011713,117.13,47026.0,145200.0,1216.0,22.9,14.545454545454545,69.32610379550735,8
21111011800,118,50179.0,132800.0,1015.0,15.8,19.024390243902438,71.88715953307393,18
21111011901,119.01,,13100.0,692.0,47.6,24.03846153846154,27.729636048526864,4
21111011904,119.04,42424.0,144800.0,776.0,24.7,4.559748427672956,92.12880143112702,10
21111011906,119.06,52835.0,204900.0,1071.0,24.3,23.554735547355474,46.52777777777778,16
21111011907,119.07,72123.0,226800.0,984.0,6.2,22.59259259259259,82.17008797653959,16
21111011908,119.08,51400.0,200500.0,1167.0,13.7,35.0210970464135,51.39470013947002,9
21111011909,119.09,44835.0,199500.0,927.0,25.7,24.647887323943664,84.32539682539682,16
21111012001,120.01,67798.0,167100.0,1095.0,19.8,12.556053811659194,71.53284671532847,6
21111012003,120.03,67625.0,188100.0,1283.0,17.1,,72.83493708364175,19
21111012004,120.04,50231.0,77500.0,1167.0,32.2,5.8558558558558556,65.34246575342466,4
21111012005,120.05,59909.0,161900.0,1211.0,17.1,22.335766423357665,47.8421052631579,4
21111012103,121.03,80556.0,190700.0,1267.0,7.3,33.49282296650718,50.11185682326622,12
21111012104,121.04,57891.0,137500.0,1396.0,20.1,21.885521885521886,75.15741270749857,15
21111012105,121.05,69160.0,173900.0,1190.0,8.2,26.26131953428202,46.464646464646464,11
21111012107,121.07,62777.0,164000.0,1198.0,17.7,16.81109185441941,62.346521145975444,15
21111012108,121.08,60729.0,175900.0,855.0,22.9,6.646525679758309,75.96685082872928,2
21111012109,121.09,71723.0,189200.0,1265.0,6.0,42.46031746031746,76.75675675675676,18
21111012203,122.03,73993.0,260200.0,1093.0,12.1,31.022530329289427,56.65413533834587,35
21111012204,122.04,71133.0,298700.0,970.0,12.0,11.573604060913706,47.54240974336668,11
21111012205,122.05,51656.0,200300.0,1138.0,9.8,8.4,61.87050359712231,7
21111012206,122.06,85948.0,220500.0,900.0,6.4,11.127596439169139,71.22375832053251,15
21111012301,123.01,64295.0,195000.0,1393.0,8.8,35.833333333333336,92.43421052631578,12
21111012302,123.02,62333.0,221800.0,1248.0,12.7,22.106824925816024,81.16674322462104,15
21111012406,124.06,69269.0,167800.0,1197.0,16.0,16.373477672530445,76.53374233128835,15
21111012407,124.07,88137.0,192600.0,1312.0,7.6,28.169014084507044,57.247514390371535,21
21111012408,124.08,69514.0,167000.0,962.0,13.4,28.525641025641026,87.66990291262135,3
21111012409,124.09,77426.0,155800.0,1367.0,7.2,,90.80459770114942,16
21111012410,124.10,67969.0,231500.0,941.0,10.4,17.5,30.486486486486484,8
21111012412,124.12,62461.0,211900.0,1207.0,14.4,4.132231404958678,73.09236947791165,22
21111012413,124.13,66413.0,174800.0,1707.0,30.3,91.92307692307692,81.08776266996291,18
21111012501,125.01,40990.0,163600.0,821.0,21.2,23.37962962962963,71.83988764044943,7
21111012502,125.02,61225.0,193000.0,956.0,25.5,46.904761904761905,81.45386766076422,15
21111012503,125.03,63149.0,165800.0,897.0,13.9,57.7922077922078,85.76290414066932,15
21111012603,126.03,50982.0,166500.0,1070.0,9.4,20.077972709551656,82.34042553191489,13
21111012604,126.04,58222.0,158100.0,968.0,6.6,8.488063660477453,79.15780518928116,15
21111012605,126.05,50775.0,162800.0,893.0,18.9,36.480000000000004,91.67686658506732,17
21111012606,126.06,67429.0,154500.0,912.0,10.3,5.527638190954774,86.48285137861465,16
21111012701,127.01,34028.0,140300.0,914.0,40.4,34.63992707383774,62.123456790123456,27
21111012702,127.02,42191.0,145300.0,1167.0,25.0,28.947368421052634,88.14553990610328,8
21111012703,127.03,56186.0,172900.0,1445.0,13.2,18.771929824561404,50.215432824128484,31
21111012801,128.01,34380.0,119400.0,678.0,21.0,27.54491017964072,91.800878477306,12
21111012802,128.02,42227.0,102600.0,740.0,27.7,27.455357142857146,94.45324881141046,8
21111013100,131,109185.0,369600.0,1411.0,4.1,18.367346938775512,96.02385685884693,7
21111980100,9801,,,,-,,,11
