ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD
2024-12-20 05:00:00,6001 BOWMONT CT,LOUISVILLE,40216,38.16676096,-85.84898242,12.0,
2024-12-20 05:00:00,10708 ENGLISH OAK CT,LOUISVILLE,40241,38.30676345,-85.55034101,17.0,
2024-12-20 05:00:00,937 HESS LN,LOUISVILLE,40217,38.20631887,-85.73421185,10.0,
2024-12-20 05:00:00,422 BRECKENRIDGE LN,ST MATTHEWS,40207,38.24549946,-85.64973885,9.0,
2024-12-20 05:00:00,3028 POPLAR LEVEL RD,LOUISVILLE,40217,38.21232728,-85.72202213,10.0,
2024-12-20 05:00:00,2425 UNIVERSAL WAY,LOUISVILLE,40219,38.13247484,-85.72293074,13.0,
2024-12-20 05:00:00,10300 BALLARDSVILLE RD,LOUISVILLE,40241,38.3140375,-85.55875584,17.0,
2024-12-20 05:00:00,8200 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24410775,-85.6068146,18.0,
2024-12-20 05:00:00,204 HOFFMAN LN,LOUISVILLE,40222,38.24478957,-85.60645617,18.0,
2024-12-20 05:00:00,"206 PARADISE LN, 22",LOUISVILLE,40258,38.13806445,-85.87214125,14.0,
2024-12-20 05:00:00,1475 S 15TH ST,LOUISVILLE,40210,38.22880381,-85.77971609,6.0,
2024-12-20 05:00:00,12121 SHELBYVILLE RD,MIDDLETOWN,40243,38.24798269,-85.52828592,17.0,
2024-12-20 05:00:00,1031 ZORN AVE,LOUISVILLE,40207,38.27701933,-85.6958886,9.0,
2024-12-20 05:00:00,8206 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24364305,-85.60574111,18.0,
2024-12-20 05:00:00,8204 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24368075,-85.60631165,18.0,
2024-12-20 05:00:00,4306 WILMOTH AVE,LOUISVILLE,40216,38.19400314,-85.87367073,1.0,
2024-12-20 05:00:00,6018 LOVERS LN,LOUISVILLE,40291,38.1541339,-85.57297938,22.0,
2024-12-20 05:00:00,6525 ESTELE AVE,LOUISVILLE,40214,38.16264995,-85.76334267,25.0,
2024-12-20 05:00:00,"11830 DUANE POINT CIR, 101",MIDDLETOWN,40243,38.23244498,-85.54165534,19.0,
2024-12-20 05:00:00,17406 CREEK RUN DR,LOUISVILLE,40245,38.24587084,-85.43306376,19.0,
2024-12-20 05:00:00,8511 WESTOVER DR,PROSPECT,40059,38.35298288,-85.59409187,16.0,
2024-12-20 05:00:00,1605 S 31ST ST,LOUISVILLE,40211,38.22951555,-85.80717181,1.0,
2024-12-20 05:00:00,1806 PARKRIDGE PKY,LOUISVILLE,40214,38.14599907,-85.79503964,25.0,
2024-12-20 05:00:00,664 S 40TH ST,LOUISVILLE,40211,38.25185352,-85.81859199,5.0,
2024-12-20 05:00:00,1785 W HILL ST,LOUISVILLE,40210,38.22844216,-85.78906631,6.0,
2024-12-20 05:00:00,7001 DALE RD,LOUISVILLE,40258,38.15075118,-85.87701606,12.0,
2024-12-20 05:00:00,4629 DOHN RD,SHIVELY,40216,38.17943415,-85.83278383,3.0,
2024-12-20 05:00:00,12010 DIXON PARK BLVD,LOUISVILLE,40299,38.18309932,-85.53355786,20.0,
2024-12-20 05:00:00,8511 MICHAEL RAY DR,LOUISVILLE,40219,38.12599577,-85.65065944,23.0,
2024-12-20 05:00:00,1101 JUNIPER SPRINGS DR,LYNDON,40242,38.263698,-85.58957683,7.0,
2024-12-20 05:00:00,7603 BEECHSPRING FARM BLVD,LOUISVILLE,40241,38.30735434,-85.61462719,16.0,
2024-12-20 05:00:00,11401 OWL CREEK LN,ANCHORAGE,40223,38.26318866,-85.54289474,18.0,
2024-12-20 05:00:00,4646 MARION AVE,LOUISVILLE,40213,38.17326784,-85.70938735,21.0,
2024-12-19 05:00:00,2219 BEARGRASS AVE,LOUISVILLE,40218,38.19064144,-85.64071203,10.0,
2024-12-19 05:00:00,1 AUDUBON PLAZA DR,LOUISVILLE,40217,38.21527417,-85.72208525,10.0,
2024-12-19 05:00:00,8408 TERRY RD,LOUISVILLE,40258,38.13234768,-85.87599333,14.0,
2024-12-19 05:00:00,2409 BROWNSBORO RD,LOUISVILLE,40206,38.25850198,-85.70107953,4.0,
2024-12-19 05:00:00,9609 SCARBOROUGH AVE,LOUISVILLE,40272,38.11174351,-85.81274859,25.0,
2024-12-19 05:00:00,8502 BEULAH CHURCH RD,LOUISVILLE,40291,38.13821984,-85.60320435,22.0,
2024-12-19 05:00:00,7715 COLUMBINE DR,LOUISVILLE,40258,38.1419687,-85.86416643,14.0,
2024-12-19 05:00:00,1968 RICHMOND DR,LOUISVILLE,40205,38.22656063,-85.69935444,8.0,
2024-12-19 05:00:00,10501 VENADO DR,LOUISVILLE,40291,38.14974153,-85.56400813,22.0,
2024-12-19 05:00:00,265 ELDORADO AVE,LOUISVILLE,40218,38.19349289,-85.63181673,10.0,
2024-12-19 05:00:00,3212 GRAND LAKES DR,LOUISVILLE,40299,38.19787151,-85.51612473,20.0,
2024-12-19 05:00:00,2902 MEGAN THOMPSON WAY,LOUISVILLE,40220,38.22098647,-85.61836071,18.0,
2024-12-18 05:00:00,1325 BLUEGRASS AVE,LOUISVILLE,40215,38.17997066,-85.78580884,15.0,
2024-12-18 05:00:00,2143 BELMONT RD,LOUISVILLE,40218,38.20536034,-85.66931827,10.0,
2024-12-18 05:00:00,5325 PRESTON HWY,LOUISVILLE,40213,38.16983149,-85.70655496,21.0,
2024-12-18 05:00:00,5745 MALDON DR,LOUISVILLE,40216,38.17327428,-85.86388167,1.0,
2024-12-18 05:00:00,5747 MALDON DR,LOUISVILLE,40216,38.17332903,-85.86408364,1.0,
2024-12-18 05:00:00,5749 MALDON DR,LOUISVILLE,40216,38.17331307,-85.86427174,1.0,
2024-12-18 05:00:00,5751 MALDON DR,LOUISVILLE,40216,38.17323651,-85.86442949,1.0,
2024-12-18 05:00:00,5753 MALDON DR,LOUISVILLE,40216,38.17308635,-85.86466776,1.0,
2024-12-18 05:00:00,5755 MALDON DR,LOUISVILLE,40216,38.17319948,-85.86489979,1.0,
2024-12-18 05:00:00,3116 HARMON CT,LOUISVILLE,40213,38.21045222,-85.71878512,10.0,
2024-12-18 05:00:00,3613 PENWAY AVE,LOUISVILLE,40211,38.22430926,-85.81630573,1.0,
2024-12-18 05:00:00,663 S 44TH ST,LOUISVILLE,40211,38.25274688,-85.82486083,5.0,
2024-12-18 05:00:00,9704 BROOKS BEND RD,LOUISVILLE,40258,38.13764757,-85.88095491,14.0,
2024-12-18 05:00:00,3829 POPLAR LEVEL RD,LOUISVILLE,40213,38.20413663,-85.71153995,10.0,
2024-12-18 05:00:00,6206 AROXIE CT,LOUISVILLE,40258,38.14626958,-85.86572081,12.0,
