GEOID,TRACT,HOUSEHOLD_INCOME_USD,HOME_VALUE_USD,GROSS_RENT_USD,POVERTY_RATE_PCT,RENT_BURDEN_PCT,OLDER_HOUSING_PCT,PERMIT_COUNT,HOUSEHOLD_INCOME_USD_scaled,HOME_VALUE_USD_scaled,GROSS_RENT_USD_scaled,POVERTY_RATE_PCT_scaled,RENT_BURDEN_PCT_scaled,OLDER_HOUSING_PCT_scaled,NEED_INDEX
21111006800,68,93854.0,241500.0,1693.0,11.9,15.46134663341646,91.941982272361,10.0,0.5337218251786696,0.6571085422609217,0.6059749697214373,0.13895486935866985,0.15243747570911662,0.9181864526632572,0.501064022482012
21111006900,69,79833.0,237500.0,1181.0,6.4,18.02469135802469,77.6692254012561,4.0,0.6108026388125344,0.6631136465996097,0.3992733144933387,0.07363420427553444,0.18085162376967207,0.7732742783086716,0.45015828437656014
21111007000,70,77683.0,242200.0,1138.0,8.9,8.547008547008547,98.42696629213484,5.0,0.6226223199560198,0.6560576490016514,0.38191360516754136,0.10332541567695963,0.0757934628138323,0.9840288924558588,0.47062355751197726
21111007101,71.01,,106700.0,1253.0,44.7,38.35616438356164,67.96875,10.0,,0.8594805584747035,0.42834073475979006,0.5285035629453682,0.4062218126837245,0.6747847576530612,0.5794662853033294
21111007102,71.02,46478.0,188500.0,1135.0,21.0,27.845220030349015,69.82570806100217,17.0,0.794172622319956,0.7366761747485362,0.38070246265643926,0.24703087885985747,0.2897101604501027,0.6936385665377262,0.523655144262103
21111007400,74,61250.0,264600.0,1374.0,18.7,19.47449768160742,65.3590425531915,18.0,0.7129631665750412,0.6224290647049993,0.47719014937424303,0.2197149643705463,0.19692242811445457,0.6482882381676076,0.4795846685511487
21111007501,75.01,172315.0,621800.0,1154.0,3.4,42.47787610619469,76.86915887850468,54.0,0.1023804288070368,0.08617324726017117,0.3883730318934195,0.03800475059382422,0.451910137794863,0.7651511539195118,0.30533212504480445
21111007502,75.02,137813.0,613300.0,1920.0,3.6,50.0,51.50416817687567,52.0,0.2920560747663551,0.09893409397988295,0.6976180863948325,0.04038004750593824,0.5352913311226907,0.5076188503672581,0.361983080689493
21111007601,76.01,59183.0,275000.0,1050.0,5.6,17.1280276816609,77.53960857409133,6.0,0.7243265530511269,0.6068157934244107,0.346386758175212,0.06413301662707838,0.17091229168681432,0.7719582707267436,0.44742211394856435
21111007602,76.02,60258.0,158900.0,1031.0,13.0,20.988538681948423,79.2022792022792,17.0,0.7184167124793843,0.7811139468548266,0.33871618893823174,0.15201900237529692,0.2137052606146817,0.788839467410896,0.4988017631122195
21111007603,76.03,56250.0,224400.0,1369.0,23.9,19.363057324840767,52.79329608938548,5.0,0.7404507971412864,0.6827803633088125,0.47517157852240616,0.2814726840855107,0.19568713472348362,0.5207074449891689,0.48271166712844465
21111007700,77,96607.0,489900.0,1020.0,11.1,36.38253638253639,54.93387589013224,16.0,0.5185871357888949,0.2841915628284042,0.33427533306419055,0.12945368171021376,0.38434455298500775,0.5424408827620569,0.3655488581897947
21111007800,78,91071.0,363400.0,1107.0,2.4,9.633911368015415,100.0,14.0,0.5490214403518416,0.4741029875394085,0.3693984658861526,0.026128266033254154,0.08784155661371895,1.0,0.41774878607072935
21111007900,79,87917.0,390800.0,1126.0,5.5,13.031914893617023,88.24742268041237,12.0,0.5663606377130291,0.4329680228193965,0.37706903512313283,0.06294536817102138,0.12550772549059136,0.8806753629286767,0.40758769204097467
21111008100,81,89032.0,252700.0,1451.0,7.3,16.96113074204947,63.55024711696869,18.0,0.5602308960967565,0.6402942501125957,0.5082761404925313,0.0843230403800475,0.1690622735025853,0.6299234273610597,0.43201833799092926
21111008201,82.01,94911.0,679200.0,1170.0,6.4,15.686274509803921,91.6077738515901,13.0,0.5279109400769654,0.0,0.39483245861929755,0.07363420427553444,0.15493075486945132,0.91479321410543,0.3443502619911132
21111008202,82.02,58000.0,589400.0,1228.0,14.5,25.75928008998875,86.93333333333332,13.0,0.7308301264431005,0.134814592403543,0.4182478805006056,0.16983372921615203,0.26658794604724617,0.8673333333333332,0.43127460132399675
21111008300,83,77708.0,481800.0,1300.0,4.0,16.873889875666073,96.50499286733239,15.0,0.6224848818031885,0.2963518991142471,0.44731530076705694,0.04513064133016627,0.1680952264758816,0.9645149786019972,0.4239821546820896
21111008400,84,95313.0,345300.0,1356.0,7.0,8.181818181818182,97.5393028024607,12.0,0.5257009345794392,0.5012760846719712,0.4699232943076302,0.08076009501187648,0.07174540286809353,0.975016390698453,0.4374037003562439
21111008500,85,116932.0,410200.0,1154.0,13.8,39.130434782608695,89.85629754860524,4.0,0.4068499175371083,0.4038432667767603,0.3883730318934195,0.16152019002375298,0.4148044405083105,0.8970103679679817,0.44540020245122225
21111008700,87,171175.0,610500.0,1035.0,4.0,5.333333333333334,91.20521172638436,32.0,0.10864760857614075,0.10313766701696447,0.34033104561970123,0.04513064133016627,0.040170535291331126,0.9107059762015555,0.2580205790059766
21111008800,88,105234.0,486100.0,1167.0,6.8,29.455445544554454,93.87417218543047,34.0,0.4711599780098955,0.2898964119501576,0.3936213161081954,0.07838479809976247,0.3075591784664018,0.937804095147993,0.4130709629637343
21111008900,89,98618.0,429400.0,1118.0,8.3,13.131313131313133,80.44817927170868,18.0,0.5075316107751512,0.37501876595105843,0.3738393217601938,0.09619952494061759,0.12660953447310627,0.8014891670954096,0.38011465416592277
21111009001,90.01,56719.0,131800.0,1079.0,5.1,19.491525423728813,95.48104956268222,31.0,0.7378724573941726,0.821798528749437,0.35809446911586595,0.05819477434679334,0.19711117712707446,0.9541188195394776,0.5211983710454703
21111009002,90.02,68640.0,203200.0,889.0,11.4,35.412474849094565,91.94253591505309,13.0,0.6723364485981309,0.7146074163038583,0.2813887767460638,0.1330166270783848,0.3735916207810577,0.9181920738314063,0.5155221605564836
21111009103,91.03,44432.0,139700.0,1018.0,39.0,39.52569169960474,89.3581081081081,10.0,0.8054205607476635,0.8099384476805285,0.3334679047234558,0.4608076009501187,0.419185781985197,0.89195222007722,0.6201287526940306
21111009105,91.05,32244.0,117200.0,1068.0,29.9,35.98200899550225,58.17717206132878,9.0,0.8724244090159428,0.8437171595856479,0.3536536132418248,0.35273159144893107,0.37990478943380035,0.5753702673573687,0.562966971680586
21111009106,91.06,56344.0,169100.0,1169.0,17.0,31.61290322580645,64.49787835926449,10.0,0.739934029686641,0.7658009307911725,0.39442874444893017,0.1995249406175772,0.33147415228984883,0.6395447853823283,0.5117845972027496
21111009300,93,91995.0,249000.0,1266.0,6.5,10.79136690647482,96.23500206868019,21.0,0.5439417262231996,0.645848971625882,0.43358901897456603,0.07482185273159145,0.1006717127482287,0.9617737454932326,0.4601078379661167
21111009401,94.01,84750.0,293600.0,938.0,8.4,32.926829268292686,92.5226586102719,15.0,0.5837713029136888,0.5788920582495121,0.3011707710940654,0.09738717339667459,0.3460387517186399,0.924082095073679,0.4718903587410433
21111009402,94.02,84383.0,183800.0,1008.0,7.3,3.543307086614173,91.45569620253164,14.0,0.5857888949972512,0.7437321723464945,0.32943076301978197,0.0843230403800475,0.020328463205481595,0.9132491604236631,0.44614208239545333
21111009600,96,105145.0,344000.0,1345.0,3.6,16.52173913043478,90.26268115942028,25.0,0.4716492578339747,0.5032277435820447,0.465482438433589,0.04038004750593824,0.16419170803039973,0.9011364056492162,0.42434460017252706
21111009700,97,72432.0,266400.0,1436.0,4.1,13.445378151260504,96.20967741935483,13.0,0.6514898295766904,0.6197267677525897,0.5022204279370206,0.04631828978622327,0.13009088050189285,0.9615166227781434,0.4852271363887601
21111009800,98,99904.0,396400.0,1698.0,6.7,11.285266457680251,93.17681584739546,20.0,0.5004617921935129,0.42456087674523346,0.6079935405732741,0.07719714964370546,0.10614648749868207,0.9307237935526376,0.4411806067011743
21111009900,99,88906.0,320400.0,1225.0,10.6,24.12790697674419,92.17456734386758,10.0,0.5609235843870258,0.5386578591803033,0.4170367379895034,0.12351543942992874,0.24850451125334627,0.9205479031341657,0.4681976725623789
21111010001,100.01,110938.0,389200.0,2123.0,4.2,26.29310344827586,76.62209014363548,25.0,0.439802089059923,0.4353700645548716,0.7795720629794106,0.047505938242280284,0.2725052679723615,0.7626426499277276,0.45623301212276246
21111010004,100.04,66370.0,273000.0,1264.0,6.3,16.833333333333332,42.844202898550726,9.0,0.6848158328752061,0.6098183455937547,0.43278159063383126,0.07244655581947743,0.1676456655613453,0.4196936926944691,0.39786694719634724
21111010005,100.05,83578.0,238900.0,1377.0,8.4,33.396584440227706,63.861617578307616,18.0,0.5902144035184167,0.6610118600810689,0.4784012918853452,0.09738717339667459,0.3512458910001555,0.6330847907185314,0.4685575684333654
21111010006,100.06,64392.0,266700.0,1275.0,8.0,20.689655172413794,72.6520968694625,31.0,0.6956899395272127,0.6192763849271881,0.43722244650787245,0.09263657957244655,0.21039219850046553,0.7223350651542366,0.462925435698237
21111010007,100.07,102000.0,355200.0,2133.0,3.7,19.375,83.97565922920892,27.0,0.4889389774601429,0.4864134514337186,0.7836092046830844,0.04156769596199525,0.19581951681667453,0.8373038870720702,0.4722754555712809
21111010008,100.08,76157.0,331100.0,1666.0,7.4,28.33957553058677,56.103763987792476,19.0,0.6310115448048379,0.5225942050743131,0.595074687121518,0.0855106888361045,0.295189989301625,0.5543188282434032,0.44728332389696696
21111010102,101.02,118224.0,384700.0,2023.0,1.5,16.3265306122449,52.97651556526488,29.0,0.3997471137987906,0.44212580693589554,0.7392006459426725,0.015439429928741092,0.1620278618316109,0.5225676835452914,0.38018475699716703
21111010103,101.03,67250.0,307900.0,1244.0,12.2,31.794871794871792,35.78995854444956,16.0,0.679978009895547,0.5574238102387029,0.42470730722648364,0.14251781472684086,0.3334912363808621,0.3480715178747685,0.41436494939053414
21111010104,101.04,75191.0,274700.0,1279.0,9.6,25.38540596094553,42.98693923906871,19.0,0.6363221550302364,0.6072661762498124,0.43883730318934194,0.11163895486935867,0.2624436283686051,0.4211429034987078,0.4129418535343437
21111010309,103.09,104926.0,456400.0,1499.0,2.6,17.71058315334773,16.99661999034283,23.0,0.4728532160527763,0.3344843116649152,0.5276544206701655,0.02850356294536817,0.17736979904705677,0.15726160092235833,0.28302115188377347
21111010312,103.12,133333.0,463900.0,1193.0,2.4,8.333333333333332,40.48913043478261,15.0,0.3166849917537108,0.3232247410298754,0.4041178845377473,0.026128266033254154,0.07342491710090003,0.39578249778172137,0.2565605497062015
21111010313,103.13,136345.0,617600.0,2293.0,1.7,26.168224299065418,4.620123203285421,35.0,0.30012644310060477,0.09247860681579345,0.8482034719418652,0.017814726840855107,0.2711210083363954,0.031602271298663207,0.2602244213890295
21111010314,103.14,133672.0,434400.0,2050.0,7.5,33.33333333333333,9.620758483033933,29.0,0.31482133040131943,0.3675123855276985,0.7501009285425918,0.08669833729216152,0.35054476551397434,0.08237402745529351,0.3253419624555065
21111010315,103.15,109271.0,548600.0,1777.0,5.4,16.550925925925927,1.507537688442211,24.0,0.44896646509070914,0.19606665665815948,0.6398869600322972,0.06175771971496437,0.16451523764408654,0.0,0.2518655065233695
21111010316,103.16,160238.0,495200.0,1340.0,9.8,23.195876288659793,15.414507772020725,34.0,0.16877405167674542,0.2762347995796427,0.4634638675817521,0.1140142517814727,0.23817314313341503,0.14119831870572064,0.2336430720764581
21111010317,103.17,181412.0,481100.0,2287.0,1.5,,26.875699888017916,25.0,0.05236943375481029,0.2974027923735175,0.8457811869196609,0.015439429928741092,,0.2575645039650799,0.2937114693883619
21111010318,103.18,111180.0,441400.0,1619.0,6.2,19.46524064171123,45.752175714877744,29.0,0.4384716877405168,0.3570034529349947,0.5761001211142511,0.07125890736342043,0.19681981573474314,0.44921851873778934,0.3481454172709526
21111010319,103.19,85113.0,302900.0,1129.0,5.2,9.481216457960643,19.709355131698455,22.0,0.5817757009345794,0.5649301906620627,0.37828017763423494,0.05938242280285035,0.0861489650006059,0.18480416689836698,0.3092202706554501
21111010320,103.20,84038.0,303400.0,1390.0,9.3,10.333863275039745,22.776711452335253,24.0,0.5876855415063221,0.5641795526197267,0.4836495761001211,0.10807600950118766,0.09560037926855994,0.21594722341911815,0.34252304706917264
