,ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD,geometry,index_right,FID,OBJECTID,NH_CODE,NH_NAME,SHAPE_AREA,SHAPE_LEN,Shape__Are,Shape__Len
10665,2024-12-26 05:00:00,"608 VALHALLA PARK PL, 101",LOUISVILLE,40245,38.23594425,-85.4914509,11.0,,POINT (-85.4914509 38.23594425),,,,,,,,,
10666,2024-12-26 05:00:00,8201 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24415352,-85.60596427,18.0,REMAINDER OF CITY,POINT (-85.60596427 38.24415352),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10667,2024-12-26 05:00:00,203 HOFFMAN LN,LOUISVILLE,40222,38.24504006,-85.60590706,18.0,REMAINDER OF CITY,POINT (-85.60590706 38.24504006),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10668,2024-12-26 05:00:00,404 BELL LN,LOUISVILLE,40222,38.24360142,-85.604237,18.0,REMAINDER OF CITY,POINT (-85.604237 38.24360142),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10669,2024-12-26 05:00:00,1009 QUEEN AVE,LOUISVILLE,40215,38.20212044,-85.77677993,15.0,SOUTH LOUISVILLE,POINT (-85.77677993 38.20212044),61.0,62.0,62.0,65.0,SOUTH LOUISVILLE,21600041.4937,22937.6143854,3255196.72265625,8903.94043985458
10670,2024-12-26 05:00:00,2303 S ENGLISH STATION RD,LOUISVILLE,40299,38.2025509,-85.48092963,11.0,,POINT (-85.48092963 38.2025509),,,,,,,,,
10671,2024-12-26 05:00:00,2647 DRAYTON DR,LOUISVILLE,40205,38.22416372,-85.66993975,8.0,BOWMAN,POINT (-85.66993975 38.22416372),26.0,27.0,27.0,10.0,BOWMAN,35329001.3923,46240.3586181,5327751.07421875,17954.7960153949
10672,2024-12-26 05:00:00,1814 W LEE ST,LOUISVILLE,40210,38.22653722,-85.79194569,6.0,ALGONQUIN,POINT (-85.79194569 38.22653722),38.0,39.0,39.0,1.0,ALGONQUIN,33219618.2833,32962.9248289,5008709.046875,12793.4276295068
10673,2024-12-26 05:00:00,14506 GABLEWOOD PL,LOUISVILLE,40245,38.23231677,-85.48378282,11.0,,POINT (-85.48378282 38.23231677),,,,,,,,,
10674,2024-12-26 05:00:00,3910 JENICA WAY,LOUISVILLE,40241,38.30723505,-85.60445425,16.0,,POINT (-85.60445425 38.30723505),,,,,,,,,
10675,2024-12-26 05:00:00,2229 MILLVALE RD,LOUISVILLE,40205,38.22991245,-85.68281981,8.0,HIGHLANDS DOUGLASS,POINT (-85.68281981 38.22991245),36.0,37.0,37.0,37.0,HIGHLANDS DOUGLASS,17964144.5664,21338.6133251,2708966.01171875,8280.21130875887
10676,2024-12-26 05:00:00,1405 ROSEWOOD AVE,LOUISVILLE,40204,38.23132643,-85.72158956,8.0,TYLER PARK,POINT (-85.72158956 38.23132643),30.0,31.0,31.0,70.0,TYLER PARK,14342019.1249,17512.03337,2162950.15234375,6798.28491489716
10677,2024-12-26 05:00:00,1806 MILBURT DR,LYNDON,40223,38.27204099,-85.5604121,17.0,,POINT (-85.5604121 38.27204099),,,,,,,,,
10678,2024-12-24 05:00:00,839 LAKE FOREST PKY,LOUISVILLE,40245,38.25282002,-85.48659294,19.0,,POINT (-85.48659294 38.25282002),,,,,,,,,
10679,2024-12-24 05:00:00,1924 PAYNE ST,LOUISVILLE,40206,38.25221121,-85.71203595,9.0,CLIFTON,POINT (-85.71203595 38.25221121),9.0,10.0,10.0,22.0,CLIFTON,19009888.5274,17779.8130048,2868707.6328125,6903.68857888366
10680,2024-12-24 05:00:00,2204 HIGHLAND SPRINGS PL,LOUISVILLE,40245,38.26996708,-85.47846829,19.0,,POINT (-85.47846829 38.26996708),,,,,,,,,
10681,2024-12-23 05:00:00,8201 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24415352,-85.60596427,18.0,REMAINDER OF CITY,POINT (-85.60596427 38.24415352),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10682,2024-12-23 05:00:00,4015 COLLINS LN,LOUISVILLE,40245,38.30186395,-85.52177958,19.0,,POINT (-85.52177958 38.30186395),,,,,,,,,
10683,2024-12-23 05:00:00,8201 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24415352,-85.60596427,18.0,REMAINDER OF CITY,POINT (-85.60596427 38.24415352),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10684,2024-12-23 05:00:00,300 WALKER HOUSE LN,LOUISVILLE,40222,38.24468266,-85.60559753,18.0,REMAINDER OF CITY,POINT (-85.60559753 38.24468266),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10685,2024-12-23 05:00:00,302 WALKER HOUSE LN,LOUISVILLE,40222,38.24435945,-85.60536797,18.0,REMAINDER OF CITY,POINT (-85.60536797 38.24435945),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10686,2024-12-23 05:00:00,401 BELL LN,LOUISVILLE,40222,38.24400178,-85.60499338,18.0,REMAINDER OF CITY,POINT (-85.60499338 38.24400178),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10687,2024-12-23 05:00:00,403 BELL LN,LOUISVILLE,40222,38.24372664,-85.60477271,18.0,REMAINDER OF CITY,POINT (-85.60477271 38.24372664),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10688,2024-12-23 05:00:00,200 HOFFMAN LN,LOUISVILLE,40222,38.24564936,-85.60623886,18.0,REMAINDER OF CITY,POINT (-85.60623886 38.24564936),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10689,2024-12-23 05:00:00,301 WALKER HOUSE LN,LOUISVILLE,40222,38.24470996,-85.60501701,18.0,REMAINDER OF CITY,POINT (-85.60501701 38.24470996),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10690,2024-12-23 05:00:00,3606 SASSE WAY,LOUISVILLE,40245,38.28377149,-85.47795531,19.0,,POINT (-85.47795531 38.28377149),,,,,,,,,
10691,2024-12-23 05:00:00,2004 OLMSTED VIEW CT,LOUISVILLE,40205,38.23205427,-85.68709712,8.0,HIGHLANDS DOUGLASS,POINT (-85.68709712 38.23205427),36.0,37.0,37.0,37.0,HIGHLANDS DOUGLASS,17964144.5664,21338.6133251,2708966.01171875,8280.21130875887
10692,2024-12-23 05:00:00,2406 ROCKFORD LN,LOUISVILLE,40216,38.17608686,-85.84156201,1.0,,POINT (-85.84156201 38.17608686),,,,,,,,,
10693,2024-12-23 05:00:00,1820 CIMMARON TRL,LOUISVILLE,40223,38.27573587,-85.57185341,7.0,,POINT (-85.57185341 38.27573587),,,,,,,,,
10694,2024-12-23 05:00:00,7800 KENBROOK PL,LOUISVILLE,40258,38.14157737,-85.88395409,14.0,,POINT (-85.88395409 38.14157737),,,,,,,,,
10695,2024-12-23 05:00:00,5310 HEMPSTEAD RD,INDIAN HILLS,40207,38.28409945,-85.65055761,16.0,,POINT (-85.65055761 38.28409945),,,,,,,,,
10696,2024-12-23 05:00:00,2611 WELSFORD WAY,MEADOW VALE,40242,38.28213203,-85.56899096,17.0,,POINT (-85.56899096 38.28213203),,,,,,,,,
10697,2024-12-23 05:00:00,206 ALVINA WAY,LOUISVILLE,40214,38.14966789,-85.76795658,25.0,KENWOOD HILL,POINT (-85.76795658 38.14966789),89.0,90.0,90.0,43.0,KENWOOD HILL,14423643.486,17117.2921816,2170671.3984375,6641.12547061272
10698,2024-12-23 05:00:00,4308 STONEMEADOW CT,LOUISVILLE,40218,38.19149565,-85.61645417,2.0,,POINT (-85.61645417 38.19149565),,,,,,,,,
10699,2024-12-23 05:00:00,1004 WILLIAMSBURG CT,ST MATTHEWS,40207,38.23716348,-85.64783504,9.0,,POINT (-85.64783504 38.23716348),,,,,,,,,
10700,2024-12-23 05:00:00,9514 INDIAN PIPE LN,LOUISVILLE,40059,38.32622401,-85.56298965,16.0,,POINT (-85.56298965 38.32622401),,,,,,,,,
